,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,snow.1h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.gust,wind.speed
204,stations,1,200,36.85,-75.98,1544594160,4791259,,78,1018.0,,0.53,1.7,-1.8,Virginia Beach,,,,US,5123.0,0.0045,1544616455,1544651279,1.0,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",250.0,,2.6
205,stations,0,200,-28.77,32.06,1544595267,962367,1009.19,90,1009.19,1027.12,20.9,20.9,20.9,Richards Bay,,,,ZA,,0.1983,1544582821,1544633050,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",14.5002,,2.61
206,stations,0,200,71.97,114.09,1544595267,2017155,1007.4,69,1007.4,1019.87,-18.73,-18.73,-18.73,Saskylakh,,,,RU,,0.0896,0,0,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",286.0,,5.46
207,stations,0,200,-24.76,-51.76,1544595029,3453478,944.34,88,944.34,1027.73,17.43,17.43,17.43,Pitanga,,,,BR,,0.0032,1544603480,1544652636,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",89.5002,,1.06
208,stations,48,200,4.92,6.26,1544595268,2318123,1010.32,91,1010.32,1026.59,23.75,23.75,23.75,Yenagoa,,,,NG,,0.0031,1544592806,1544635446,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",208.0,,2.06
209,stations,68,200,-42.72,170.96,1544595347,2206894,1013.81,100,1013.81,1024.93,16.25,16.25,16.25,Hokitika,,1.05,,NZ,,0.1615,1544547101,1544602083,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",346.0,,1.31
210,stations,88,200,47.96,80.43,1544595269,1525988,953.17,95,953.17,1045.93,-5.15,-5.15,-5.15,Ayagoz,,,,KZ,,0.0705,1544581117,1544611513,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",217.5,,2.66
211,stations,64,200,-8.45,118.73,1544595348,1648759,996.46,88,996.46,1020.84,28.4,28.4,28.4,Bima,,0.3,,ID,,0.162,1544564427,1544609824,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",310.0,,1.96
212,stations,80,200,-7.19,109.31,1544595269,1649595,979.76,88,979.76,1022.26,26.65,26.65,26.65,Gombong,,2.805,,ID,,0.0093,1544566820,1544611953,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",199.0,,1.31
213,stations,0,200,-29.41,-66.86,1544595270,3848950,965.17,67,965.17,1021.16,24.8,24.8,24.8,La Rioja,,,,AR,,0.0043,1544606476,1544656892,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",117.0,,1.71
